delegates,voting_power
0xEF971E26630dcD49e0eC6Db4942957730eD10533,0.17
0x4d78C64eccF1130CC897B17ca13F9AE4c550b6B1,0.18
0x9d9308425a235E6dE973D146b33e0B39841D7621,0.193
0x51e146b337Bb8b861290C89083dD9109C1BfB2C2,0.19
0x8e55AAC830db5A320a442295e6d0a256BCec5A04,0.185
0xe6f406ADFBB536F762D818D8B64d15B8C0ED20B6,0.19
0x74aA6C77Afa32C91BA2A5D9Ea00c8e6E53F9458D,0.19
0xC731954e935C061504F9E10A6B42e034f802b2dB,0.165
0x01133947c086Cd206e89567dF77673e6563093E5,0.17
0x41AE4a305e60C71baD57541D46b64b15a9A99dac,0.17
0x22524B9aDc353207e4007B90F280AEA605203B5E,0.165
0xAd01E92aBD791510e89621100Ad1C7711A65BE1D,0.17
0xf3DBf14bD266618C255F27b9782167bD49d55aD8,0.1915
0x829d3320f2125060a1170b3e1A523c8E328c853A,0.19
0xC84D8c91362EA3134f80d46b6f88Bc5bcA6d5fF0,0.18
0x9cf2Cbb06B115A16D9556DAEF9B942b0110E653C,0.18
0x82d38c5b97cB22b96dfcDd3DBE7d8714954128D8,0.185
0x4C952C43931b60C9A16161563D3AEA6e4E299921,0
0x1F436F4354391e13Eb0E63AA7D008598DD73cBD6,0
0x73eFf882eD862F26D177Ab7d276f097Ec932B8Ef,0
0x659766af10e2170D1c54F587196758c76A3cf691,0
0x716bC958050c7022595dE05bc649cE9d930AFfe6,0
0x5CA24Cd447D480469cc97D9Bf3489cFf912B220e,0
0x699c580d9A460946Ee3AeD8C33e3A5f4Db7a911e,0
0xeF8a1Ff8Bc10ba44E573EF6eE3C5Ae15dBfbd439,0
0xbE96CE4Bf7e7C9197c2A208Ec69F2ee88294eCdb,0
0x7bff1241613952207C7E36580dfA8AcE1C8AE37F,0
0x91a9730a00d0c3f65272B4A6ecd7445f38B27FD9,0
0x8E6d3851267236DE96Ae898fb2a757f5406aca8e,0
0x790d6dA452D8EDb0e3DF77f41db74C847eAb191e,1.00843
0x4DFF58C9307D63b4758C502746A8A77ef93C3dfc,1.00613
0xA6fca3bCB7e16B3C60a00F458f12C82aC44A211e,0
0x1e10c25DE7e2C04d8b4B1C52f31255F76081Ce93,0
0x9CE07242c0c483BBd4578cba0fA9cb0b483Ce26C,0
0x93B26026c0C2f11002f756d4DB19A589dB2e841d,0
0x6b5fCE259b6E3884f7b74c5e8Fed0B5055145D7F,0
0x153cC9bE80A7de3F29892e1eB1f7C3F48b30F26A,0.349336
0xBcD3d7CD958F528071caaC01417F327418E31451,0
0xD4e3a243eAFc4E2256AA4318aAaA6dda4dd00d7A,0
0x311D55b8d6aaD018b50b03c3B64e74B70849F658,0
0x8915Ea611F15123FC71a5626989C9B70E7c3EB05,0
0xB44265ed5A96071644D590Ff0c85A4A24DC499d6,1213600
0x53689948444CfD03d2Ad77266b05e61B8Eed3132,9000030
0x6D7823CD5c3d9dcd63E6A8021b475e0c7C94b291,52570.5
0x53e8f6d77D865b20aFF90139435Eb032B3eB993D,0
0xfaae591E1B434684b1b0f6BD00e54eEE74792172,0
0xfbbeaF07699fe1c329bb746faa477D2Ad14fBC64,0
0xec32790052D389a9fBCE561Bd5Ca3c174Df67b47,0
0x3B02A1553C11ff33b07b19B9321F1d126e7A4648,0.3029
0xbb49F7788DbE11758d75056fF6312a1cF1BFc5aC,0.291
0x7781d202E1a926aF1175c49Bf5a800552e5f6df9,0.2891
0xcE0Ad72A5bb345444A3aE8654039F55F181e02E0,0.287
0x475817A7c5cC976461eD37b059ea63F91641c057,0.29
0x5f0D6E56314Df6Fa0b0e0233423d795460Bd8802,2664.79
0x3B41cba749e08E08348C979c7914Bdc8E5B6d851,1427210
0x7Ba762Fd208FbF46624C6da9ae7f4F8e57902017,0
0x081C450ee5CA107c8e726574Ba2351a3447b4be1,0.171
0xa83cE8fc1746eA151A767276B2f3d4EA4AD586CA,719000
0x3da92CD0747736D88996709387F9e8B59dC03432,719000
0xEB308A044bdF6975b4b852A3fAA8607BcA5D6CF3,719000
0x5B5616A016d19c21D67cf734E87e7e142FEefc97,719000
0xe029E349E4b97C32509512Ae9E20613a8649C1da,719503
0x9a8ae4ebbc18f54D72Fea5D4c8291a9e23aAA691,719000
0x51Cb8D1Bc71b359E383DC858d05bCB100b1A4d1D,719000
0xF1a0a51eF971db512aF8373f756DE1DdBEe995AA,719000
0x7215eDf849f8002b61ddC78Ca60C315e34363202,719000
0x92e1Fa598f281227Be86C1a67d6E512F2b4640b5,719000
0x57cb15A2168F7B0E289b7d395aBfE711398981ad,0
0x00DE2fE39d388ED0562Cb9B1d4D54e77fC2b7E99,7551.94
0xE812c091785B76435c3A77B0e1acB59667281bfa,615.646
0xF1F71E1d74f29f12E518161A50337dA17Af750A6,400
0xf3372B063931cd8eeb8B73cA24Cce02d863E35c2,0.009
0xcf5fafE700fCe74Cdbb336e07689758969d07DeE,1.59384
0x87274794adF3Bf1235AbB12E02614AAb37EdE1ae,0
0x5A3ABE9Ae52251b8FadeF0632bb55D8cD302aD5D,0
0x0527c1F35Cfae1051e3A3C28Eb2255d7f0138469,10
0xCd0Ed38251538b4A6Ff877CA6C8B897a85c4ce95,458.058
0xe945Ce2AF6e3fe8e3729b1A7FFb7842859BA2f03,400
0x205e671bf61e4c19716027290485B72a3Af5D018,611.942
0x974e2B9bC98CAC1C2Fb85d49563A6f7ab6cB2527,0
0xD119Bd2142a5f84E189cc36E813938401D8ea298,0
0x116B52E794e1FC1DbceBBb2bc2C2ACffF6529b99,0
0x0aEfb98d56F0e8839f4D1adA4e92265b2809Ad0C,0
0xd9b305acD79e16a4174E00C03Ba81aA988495e7B,0
0xDe6c5665bAb9135C33182e50C1A33bb0a7997431,1.01937
0x7Eab954e6656ea3dCCA3a6C76eb9F9350159Dc35,0
0xC03f4DF3bcc72125556FDc058129C02736b72c36,0
0xff6eA0bd6d6aD885C461930875788eaa01a23191,1
0x6f69286d7C51DE0f0cF5F3C03c8cA3edA8a322F9,1.03865
0x5F95353560E56CC80a4CC3420Df50aB6DE1f100F,0
0xe1555c6EE61366a3f90135Dc704Acd25C3247ACA,2.31946
0x0E49F1B57109C38aacf97Ef9e4103F89E9d6F795,0
0xD742bB7BD6252f32B3dbE397FC081998CaEAc18A,0
0x7ECA0740071BeE5236292D43d52e63Fd5fD018e7,0
0xAb9EB1d55556ADb7b74D2ED4D5Fa0C1696EBDC98,0
0xAFAD1F78868afcC8BA3a12Ca93FD7A4fe2e6dEf3,0
